Russian,Polish
Ответить (Ответь на вопрос),Odpowiedzieć (Odpowiedz na pytanie)
Поздно (Уже поздно),Późno (Jest już późno)
Юг; полдень (Я иду на обед в полдень),Południe (Idę na obiad w południe)
Запад; закат (Солнце заходит на западе),Zachód (Słońce zachodzi na zachodzie)
Забыть (Я забыл ключи),Zabyt (Zapomniałem kluczy)
Профессия; разочарование (Какая у тебя профессия?),Zawód (Jaki masz zawód?)
Более близкий (Более близкий срок),Bliższy (Bliższy termin)
Дальнейший (Дальнейшая часть),Dalszy (Dalsza część)
Предыдущий (Предыдущая неделя),Poprzedni (Poprzedni tydzień)
Похожий (Похожий на своего брата),Podobny (Podobny do swojego brata)
Самостоятельный (Я самостоятельный),Samodzielny (Jestem samodzielny)
Видный; заметный (Видимый невооружённым глазом),Widoczny (Widoczny gołym okiem)
Отчётливый (Чёткий образ),Wyraźny (Wyraźny obraz)
Действительный (Реальная стоимость),Rzeczywisty (Rzeczywisty koszt)
Эффективный (Эффективное решение),Skuteczny (Skuteczne rozwiązanie)
Особенно (Особенно в выходные),Zwłaszcza (Zwłaszcza w weekendy)
Обычно (Обычно я пью кофе),Zazwyczaj (Zazwyczaj piję kawę)
"Кроме того (Кроме того, у меня свободные выходные)",Ponadto (Ponadto mam wolny weekend)
"Возможно (Возможно, мы можем посмотреть)",Ewentualnie (Ewentualnie możemy zobaczyć)
Наверняка (Я обязательно приду),Z pewnością (Z pewnością przyjdę)
"Вероятно (Вероятно, завтра будет дождь)",Prawdopodobnie (Prawdopodobnie jutro będzie padać)
"Действительно (Действительно, ты прав)",Rzeczywiście (Rzeczywiście masz rację)
"А именно (А именно, речь о том...)",Mianowicie (Mianowicie chodzi o to...)
"Прежде всего (Прежде всего, будь в безопасности)",Przede wszystkim (Przede wszystkim bądź bezpieczny)
Частично (Частично закончено),Częściowo (Częściowo skończone)
Полностью (Я полностью согласен),Całkowicie (Całkowicie się zgadzam)
Совершенно (Совершенно иначе),Zupełnie (Zupełnie inaczej)
Исключительно (Исключительно хорошая погода),Wyjątkowo (Wyjątkowo ładna pogoda)
Средний (Средний результат),Przeciętny (Przeciętny wynik)
Типичный (Типичный польский дом),Typowy (Typowy polski dom)
Естественный (Натуральные ингредиенты),Naturalny (Naturalne składniki)
Обычный (Обычный день),Zwyczajny (Zwyczajny dzień)
Сложный (Сложная проблема),Skomplikowany (Skomplikowany problem)
Сложный (Сложное предложение),Złożony (Złożone zdanie)
Существенный (Существенное дело),Istotny (Istotna sprawa)
Значительный (Значительный рост),Znaczny (Znaczny wzrost)
Небольшой (Небольшая разница),Niewielki (Niewielka różnica)
Многочисленный (Многочисленная публика),Liczny (Liczna publiczność)
Присутствующий (Я присутствовал),Obecny (Byłem obecny)
Сознательный (Он в сознании),Przytomny (Jest przytomny)
Заметный (Едва заметный),Widoczny (Ledwo widoczny)
Слышимый (Едва слышный звук),Słyszalny (Ledwo słyszalny dźwięk)
Видимый (Видимый невооружённым глазом),Widzialny (Widzialny gołym okiem)
Невидимый (Невидимая сила),Niewidzialny (Niewidzialna siła)
Вероятный (Вероятный результат),Prawdopodobny (Prawdopodobny wynik)
Неуверенный (Неуверенный результат),Niepewny (Niepewny wynik)
Осознающий (Я осознаю ситуацию),Świadomy (Jestem świadomy sytuacji)
Надлежащий (В надлежащее время),Stosowny (W stosownym czasie)
Неправильный (Неправильное поведение),Niewłaściwy (Niewłaściwe zachowanie)
Ошибочный (Ошибочный ответ),Błędny (Błędna odpowiedź)
Подробный (Подробное описание),Szczegółowy (Szczegółowy opis)
Рамочный (Рамочный план),Ramowy (Ramowy plan)
Предварительный (Предварительный план),Wstępny (Wstępny plan)
Более ранний (Более ранний срок),Wcześniejszy (Wcześniejszy termin)
Более поздний (Более поздний срок),Późniejszy (Późniejszy termin)
Текущий (Текущий месяц),Bieżący (Bieżący miesiąc)
Недавний (Недавний разговор),Niedawny (Niedawna rozmowa)
Свежий (Свежая выпечка),Świeży (Świeże pieczywo)
Администрация (Государственная администрация),Administracja (Administracja państwowa)
Анализ (Анализ данных),Analiza (Analiza danych)
Исследовательский (Исследовательский центр),Badawczy (Ośrodek badawczy)
Непосредственный (Непосредственный контакт),Bezpośredni (Bezpośredni kontakt)
Делегация (Служебная командировка),Delegacja (Delegacja służbowa)
Документация (Документация проекта),Dokumentacja (Dokumentacja projektu)
Участок (Участок под дом),Działka (Działka pod dom)
Хозяин (Хозяин дома),Gospodarz (Gospodarz domu)
Учреждение (Публичное учреждение),Instytucja (Instytucja publiczna)
Корреспонденция (Служебная переписка),Korespondencja (Korespondencja służbowa)
Кризис (Экономический кризис),Kryzys (Kryzys gospodarczy)
Врачебный (Врачебный кабинет),Lekarski (Gabinet lekarski)
Содержательный (Содержательное замечание),Merytoryczny (Merytoryczna uwaga)
Инвалид (Человек с инвалидностью),Niepełnosprawny (Osoba niepełnosprawna)
Центр (Медицинский центр),Ośrodek (Ośrodek zdrowia)
Учреждение (Торговая точка),Placówka (Placówka handlowa)
Процедура (Судебное разбирательство),Postępowanie (Postępowanie sądowe)
Правовой (Юридическая помощь),Prawny (Pomoc prawna)
Подготовка (Подготовка к экзамену),Przygotowanie (Przygotowanie do egzaminu)
Регламент (Школьные правила),Regulamin (Regulamin szkoły)
Специалист (IT-специалист),Specjalista (Specjalista IT)
Стипендия (У меня стипендия),Stypendium (Mam stypendium)
Обучение (Тренинг по польскому),Szkolenie (Szkolenie z polskiego)
Услуга (Оказание услуг),Świadczenie (Świadczenie usług)
Страховка (Медицинская страховка),Ubezpieczenie (Ubezpieczenie zdrowotne)
Образование (Высшее образование),Wykształcenie (Wykształcenie wyższe)
Справка (Справка о трудоустройстве),Zaświadczenie (Zaświadczenie o zatrudnieniu)
Пособие (Пособие по безработице),Zasiłek (Zasiłek dla bezrobotnych)
